Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,Out_ratio,Speed
ソト,0.1605166051660516,0.040590405904059,0.003690036900369,0.0387453874538745,0.0867158671586715,0.6697416974169742,6
ポランコ,0.1216948717948717,0.0448717948717948,0.0001,0.0491452991452991,0.1025641025641025,0.6816239316239316,0
佐藤都志也,0.1968026548672566,0.0442477876106194,0.0001,0.0110619469026548,0.0707964601769911,0.6769911504424779,2
中村奨吾,0.1523249422632794,0.0415704387990762,0.0001,0.0092378752886836,0.1062355658198614,0.6905311778290995,-2
岡大海,0.1595238095238095,0.0666666666666666,0.0047619047619047,0.0166666666666666,0.1214285714285714,0.6309523809523809,11
友杉篤輝,0.1601053435114504,0.0254452926208651,0.0001,0.0001,0.0432569974554707,0.7709923664122138,7
藤岡裕大,0.1653116531165311,0.035230352303523,0.002710027100271,0.013550135501355,0.1300813008130081,0.6531165311653117,3
小川龍成,0.194688178913738,0.0063897763578274,0.0001,0.0001,0.0958466453674121,0.7028753993610224,8
髙部瑛斗,0.2160278745644599,0.0418118466898954,0.0104529616724738,0.0034843205574912,0.0696864111498257,0.6585365853658537,11
藤原恭大,0.2007575757575757,0.0303030303030303,0.0151515151515151,0.0075757575757575,0.106060606060606,0.6401515151515152,14
角中勝也,0.1658986175115207,0.0552995391705069,0.0092165898617511,0.0138248847926267,0.1152073732718894,0.6405529953917051,6
荻野貴司,0.2206572769953051,0.028169014084507,0.0046948356807511,0.0046948356807511,0.056338028169014,0.6854460093896715,3
山口航輝,0.1324966850828729,0.0441988950276243,0.0001,0.011049723756906,0.0607734806629834,0.7513812154696133,1
安田尚憲,0.131983908045977,0.0747126436781609,0.0001,0.0001,0.0747126436781609,0.7183908045977012,0
田村龍弘,0.1123,0.0625,0.0001,0.0001,0.0875,0.7375,0
石川慎吾,0.1611903225806451,0.032258064516129,0.0001,0.010752688172043,0.032258064516129,0.7634408602150539,0
愛斗,0.1445368421052631,0.0263157894736842,0.0001,0.0001,0.0657894736842105,0.7631578947368421,0
茶谷健太,0.1445368421052631,0.0131578947368421,0.0001,0.0001,0.0131578947368421,0.8289473684210525,0
和田康士朗,0.1264605633802817,0.0001,0.0001,0.0001,0.0985915492957746,0.7746478873239436,11
上田希由翔,0.1873,0.046875,0.0001,0.0001,0.0625,0.703125,0
