Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,Out_ratio
岡本和真,0.1406528641571195,0.060556464811783964,0.0001,0.044189852700491,0.11620294599018004,0.6382978723404255
吉川尚輝,0.19933554817275748,0.04152823920265781,0.006644518272425249,0.008305647840531562,0.07807308970099668,0.6661129568106312
丸佳浩,0.1899159663865546,0.030252100840336135,0.0016806722689075631,0.023529411764705882,0.11428571428571428,0.6403361344537815
坂本勇人,0.17126150234741785,0.03286384976525822,0.0001,0.01643192488262911,0.06572769953051644,0.7136150234741783
門脇誠,0.18508518518518519,0.022222222222222223,0.0024691358024691358,0.0001,0.0962962962962963,0.6938271604938272
大城卓三,0.16189376947040499,0.0529595015576324,0.0001,0.009345794392523364,0.1059190031152648,0.6697819314641744
岸田行倫,0.16778523489932887,0.03355704697986577,0.003355704697986577,0.013422818791946308,0.06040268456375839,0.7214765100671141
ヘルナンデス,0.1915666666666667,0.04583333333333333,0.0001,0.03333333333333333,0.075,0.6541666666666668
泉口友汰,0.13513513513513514,0.032432432432432434,0.005405405405405406,0.005405405405405406,0.0972972972972973,0.7243243243243244
萩尾匡也,0.12269938650306748,0.049079754601226995,0.012269938650306749,0.012269938650306749,0.0736196319018405,0.7300613496932514
モンテス,0.15713270440251573,0.09433962264150944,0.0001,0.006289308176100629,0.050314465408805034,0.6918238993710693
浅野翔吾,0.12025316455696203,0.06962025316455696,0.012658227848101266,0.0189873417721519,0.056962025316455694,0.7215189873417722
オコエ瑠偉,0.15276624203821657,0.05732484076433121,0.0001,0.01910828025477707,0.06369426751592357,0.7070063694267517
佐々木俊輔,0.17297692307692308,0.03205128205128205,0.00641025641025641,0.0001,0.057692307692307696,0.7307692307692307
小林誠司,0.0974609756097561,0.024390243902439025,0.0001,0.008130081300813009,0.08943089430894309,0.7804878048780487
立岡宗一郎,0.18151818181818186,0.0001,0.0001,0.0001,0.1111111111111111,0.707070707070707
長野久義,0.19377755102040817,0.030612244897959183,0.01020408163265306,0.0001,0.09183673469387756,0.673469387755102
戸郷翔征,0.035414285714285704,0.0001,0.0001,0.0001,0.017857142857142856,0.9464285714285714
山﨑伊織,0.07527169811320754,0.03773584905660377,0.0001,0.0001,0.018867924528301886,0.8679245283018868
菅野智之,0.07517169811320754,0.0001,0.0001,0.0001,0.03773584905660377,0.8867924528301887
