Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,Out_ratio
小園海斗,0.2227891156462585,0.025510204081632654,0.00510204081632653,0.003401360544217687,0.061224489795918366,0.6819727891156464
秋山翔吾,0.22657580919931858,0.034071550255536626,0.0017035775127768314,0.0068143100511073255,0.05792163543441227,0.6729131175468482
菊池涼介,0.16287786720321934,0.03822937625754527,0.0001,0.018108651911468814,0.052313883299798795,0.7283702213279677
矢野雅哉,0.18383838383838383,0.026262626262626262,0.012121212121212121,0.00404040404040404,0.08282828282828283,0.690909090909091
坂倉将吾,0.18831168831168832,0.04112554112554113,0.0021645021645021645,0.025974025974025976,0.06926406926406926,0.6731601731601732
野間峻祥,0.19413092550790068,0.03160270880361174,0.011286681715575621,0.002257336343115124,0.10835214446952596,0.652370203160271
末包昇大,0.14792631578947368,0.046052631578947366,0.0001,0.029605263157894735,0.05921052631578947,0.7171052631578948
堂林翔太,0.15374615384615387,0.047619047619047616,0.0001,0.003663003663003663,0.06227106227106227,0.7326007326007327
會澤翼,0.13816477987421386,0.03773584905660377,0.0001,0.0001,0.05660377358490566,0.7672955974842768
上本崇司,0.17103287671232878,0.0136986301369863,0.0001,0.0001,0.0547945205479452,0.7602739726027397
石原貴規,0.1365906474820144,0.04316546762589928,0.0001,0.02158273381294964,0.07194244604316546,0.7266187050359713
二俣翔一,0.13104754098360658,0.03278688524590164,0.0001,0.00819672131147541,0.07377049180327869,0.7540983606557377
田中広輔,0.10175185185185184,0.018518518518518517,0.0001,0.018518518518518517,0.09259259259259259,0.7685185185185186
田村俊介,0.14140943396226416,0.02830188679245283,0.018867924528301886,0.0001,0.03773584905660377,0.7735849056603774
松山竜平,0.10246410256410256,0.05128205128205128,0.0001,0.01282051282051282,0.05128205128205128,0.782051282051282
宇草孔基,0.14656666666666668,0.02666666666666667,0.0001,0.04,0.08,0.7066666666666667
中村奨成,0.11408571428571428,0.02857142857142857,0.0001,0.0001,0.014285714285714285,0.842857142857143
林晃汰,0.109175,0.0625,0.0001,0.0001,0.0625,0.765625
床田寛樹,0.1535461538461539,0.0001,0.0001,0.0001,0.0,0.8461538461538461
森下暢仁,0.19210769230769234,0.019230769230769232,0.0001,0.0001,0.038461538461538464,0.75
