Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,Out_ratio
小郷裕哉,0.16822429906542055,0.037383177570093455,0.009345794392523364,0.010903426791277258,0.11059190031152648,0.663551401869159
辰己涼介,0.19597989949748743,0.03685092127303183,0.020100502512562814,0.011725293132328308,0.08710217755443886,0.6482412060301509
村林一輝,0.18038528896672504,0.02276707530647986,0.005253940455341506,0.010507880910683012,0.040280210157618214,0.7408056042031524
浅村栄斗,0.15569710144927537,0.034420289855072464,0.0001,0.025362318840579712,0.13043478260869565,0.6539855072463767
小深田大翔,0.16666666666666666,0.017241379310344827,0.007662835249042145,0.005747126436781609,0.0842911877394636,0.7183908045977011
鈴木大地,0.19130434782608696,0.02391304347826087,0.010869565217391304,0.008695652173913044,0.0782608695652174,0.6869565217391305
太田光,0.11152416356877323,0.03717472118959108,0.011152416356877323,0.007434944237918215,0.055762081784386616,0.7769516728624535
阿部寿樹,0.11023622047244094,0.051181102362204724,0.007874015748031496,0.03543307086614173,0.08267716535433071,0.7125984251968503
フランコ,0.15216337448559672,0.0205761316872428,0.0001,0.03292181069958848,0.04526748971193416,0.7489711934156379
石原彪,0.09292325581395348,0.029069767441860465,0.0001,0.023255813953488372,0.0755813953488372,0.7790697674418604
島内宏明,0.15574415584415585,0.01948051948051948,0.006493506493506494,0.0001,0.12337662337662338,0.6948051948051949
渡邊佳明,0.20759220779220783,0.012987012987012988,0.0001,0.0001,0.07142857142857142,0.7077922077922078
中島大輔,0.140625,0.0625,0.0078125,0.0078125,0.0390625,0.7421875
安田悠馬,0.1874,0.046875,0.0001,0.015625,0.046875,0.703125
伊藤裕季也,0.168,0.048,0.008,0.016,0.048,0.7119999999999999
岡島豪郎,0.13978494623655913,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.12903225806451613,0.6989247311827957
茂木栄五郎,0.16,0.05333333333333334,0.013333333333333334,0.013333333333333334,0.06666666666666667,0.6933333333333334
黒川史陽,0.18323333333333333,0.016666666666666666,0.0001,0.016666666666666666,0.06666666666666667,0.7166666666666666
