Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,Out_ratio
源田壮亮,0.19584055459272098,0.025996533795493933,0.012131715771230503,0.005199306759098787,0.05719237435008666,0.7036395147313692
外崎修汰,0.132,0.05,0.002,0.014,0.11,0.692
佐藤龍世,0.12753623188405797,0.057971014492753624,0.002898550724637681,0.020289855072463767,0.11884057971014493,0.6724637681159421
西川愛也,0.15522388059701492,0.03283582089552239,0.005970149253731343,0.01791044776119403,0.04776119402985075,0.7402985074626866
岸潤一郎,0.14469453376205788,0.028938906752411574,0.006430868167202572,0.01929260450160772,0.05466237942122187,0.7459807073954983
古賀悠斗,0.17562724014336917,0.010752688172043012,0.0035842293906810036,0.010752688172043012,0.07168458781362007,0.7275985663082437
長谷川信哉,0.1297071129707113,0.016736401673640166,0.0041841004184100415,0.008368200836820083,0.1087866108786611,0.7322175732217573
蛭間拓哉,0.15948275862068967,0.034482758620689655,0.004310344827586207,0.004310344827586207,0.0603448275862069,0.7370689655172414
山村崇嘉,0.16143497757847533,0.02242152466367713,0.004484304932735426,0.008968609865470852,0.06726457399103139,0.7354260089686099
中村剛也,0.07794878048780488,0.06341463414634146,0.0001,0.03414634146341464,0.07804878048780488,0.7463414634146343
野村大樹,0.10294117647058823,0.049019607843137254,0.0196078431372549,0.024509803921568627,0.10784313725490197,0.696078431372549
栗山巧,0.12337662337662338,0.045454545454545456,0.006493506493506494,0.006493506493506494,0.18181818181818182,0.6363636363636365
平沼翔太,0.18035555555555557,0.0625,0.0001,0.0001,0.06944444444444445,0.6875
金子侑司,0.17011276595744682,0.0070921985815602835,0.0001,0.014184397163120567,0.0851063829787234,0.7234042553191489
滝澤夏央,0.13858613138686132,0.0072992700729927005,0.014598540145985401,0.0001,0.06569343065693431,0.7737226277372263
アギラー,0.12893225806451614,0.04032258064516129,0.0001,0.016129032258064516,0.08870967741935484,0.7258064516129032
炭谷銀仁朗,0.12611359223300972,0.019417475728155338,0.009708737864077669,0.0001,0.06796116504854369,0.7766990291262137
山野辺翔,0.14434444444444444,0.03333333333333333,0.011111111111111112,0.0001,0.05555555555555555,0.7555555555555556
奥村光一,0.14265714285714287,0.023809523809523808,0.0001,0.0001,0.047619047619047616,0.7857142857142858
元山飛優,0.09866543209876542,0.024691358024691357,0.0001,0.012345679012345678,0.037037037037037035,0.8271604938271606
鈴木将平,0.13137894736842107,0.039473684210526314,0.0001,0.0001,0.05263157894736842,0.7763157894736843
コルデロ,0.0820917808219178,0.0273972602739726,0.0001,0.0136986301369863,0.0273972602739726,0.8493150684931506
松原聖弥,0.06934444444444444,0.027777777777777776,0.013888888888888888,0.0001,0.06944444444444445,0.8194444444444445
ガルシア,0.028885507246376813,0.07246376811594203,0.0001,0.014492753623188406,0.11594202898550725,0.7681159420289856
若林楽人,0.07555757575757575,0.0001,0.0001,0.045454545454545456,0.030303030303030304,0.8484848484848486
児玉亮涼,0.08610689655172414,0.034482758620689655,0.034482758620689655,0.0001,0.10344827586206896,0.7413793103448277
