Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,Out_ratio,Speed
西川龍馬,0.1843484629294756,0.0452079566003616,0.0001,0.0126582278481012,0.050632911392405,0.7070524412296564,9
紅林弘太郎,0.1681600382409178,0.0478011472275334,0.0001,0.0038240917782026,0.0803059273422562,0.6998087954110899,-8
森友哉,0.1684901531728665,0.0525164113785558,0.0021881838074398,0.0196936542669584,0.12472647702407,0.6323851203501094,7
太田椋,0.1924119241192411,0.043360433604336,0.008130081300813,0.016260162601626,0.075880758807588,0.6639566395663956,7
セデーニョ,0.1645706586826347,0.0269461077844311,0.0001,0.0449101796407185,0.0838323353293413,0.6796407185628742,-4
宗佑磨,0.1645962732919254,0.0372670807453416,0.0062111801242236,0.0031055900621118,0.062111801242236,0.7267080745341615,5
西野真弘,0.2371794871794871,0.0192307692307692,0.0096153846153846,0.0032051282051282,0.0737179487179487,0.657051282051282,10
若月健矢,0.1337792642140468,0.0301003344481605,0.0033444816053511,0.0100334448160535,0.0434782608695652,0.7792642140468228,1
頓宮裕真,0.1172413793103448,0.0241379310344827,0.0034482758620689,0.0241379310344827,0.1344827586206896,0.6965517241379309,3
福田周平,0.1724137931034483,0.0229885057471264,0.003831417624521,0.003831417624521,0.1034482758620689,0.6934865900383141,4
杉本裕太郎,0.1379753138075314,0.0292887029288702,0.0001,0.0460251046025104,0.0794979079497908,0.7071129707112971,1
中川圭太,0.1544064377682403,0.0515021459227467,0.0001,0.0085836909871244,0.055793991416309,0.7296137339055794,1
来田涼斗,0.1322751322751322,0.037037037037037,0.0105820105820105,0.0105820105820105,0.0634920634920634,0.746031746031746,2
大里昂生,0.1590909090909091,0.0227272727272727,0.0113636363636363,0.0113636363636363,0.0852272727272727,0.7102272727272728,7
廣岡大志,0.1258504201680672,0.0504201680672268,0.0001,0.0001,0.0840336134453781,0.7394957983193277,2
渡部遼人,0.1232567901234567,0.0246913580246913,0.0001,0.0001,0.0864197530864197,0.7654320987654322,-6
ゴンザレス,0.1074923076923076,0.0001,0.0001,0.0153846153846153,0.0615384615384615,0.8153846153846154,0
茶野篤政,0.1928824561403508,0.0350877192982456,0.0175438596491228,0.0001,0.0526315789473684,0.7017543859649125,8
