Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,Out_ratio,Speed
細川成也,0.1715666666666666,0.05,0.0001,0.0383333333333333,0.1083333333333333,0.6316666666666666,-2
岡林勇希,0.208595652173913,0.0217391304347826,0.0065217391304347,0.0001,0.0630434782608695,0.7000000000000001,5
村松開人,0.200956937799043,0.0334928229665071,0.0071770334928229,0.0023923444976076,0.0717703349282296,0.6842105263157896,4
福永裕基,0.2014925373134328,0.0547263681592039,0.0049751243781094,0.0149253731343283,0.0820895522388059,0.6417910447761194,9
カリステ,0.1984732824427481,0.0279898218829516,0.0025445292620865,0.0178117048346055,0.0381679389312977,0.7150127226463106,1
田中幹也,0.1690962099125364,0.0233236151603498,0.0058309037900874,0.0058309037900874,0.0583090379008746,0.7376093294460643,9
石川昂弥,0.1780818181818182,0.0581818181818181,0.0001,0.0145454545454545,0.069090909090909,0.6799999999999999,0
中田翔,0.1421222222222222,0.0444444444444444,0.0001,0.0177777777777777,0.0444444444444444,0.7511111111111112,0
木下拓哉,0.167387684729064,0.0197044334975369,0.0001,0.0147783251231527,0.0443349753694581,0.7536945812807883,0
板山祐太郎,0.1649484536082474,0.0206185567010309,0.0154639175257731,0.0154639175257731,0.0721649484536082,0.7113402061855671,8
高橋周平,0.1946368421052631,0.031578947368421,0.0001,0.0105263157894736,0.0736842105263157,0.6894736842105263,-2
山本泰寛,0.1954307262569832,0.0167597765363128,0.0001,0.0055865921787709,0.0837988826815642,0.6983240223463687,-1
宇佐見真吾,0.2133146341463414,0.048780487804878,0.0001,0.0182926829268292,0.0548780487804878,0.6646341463414633,0
加藤匠馬,0.1202007518796992,0.0225563909774436,0.0150375939849624,0.0001,0.0150375939849624,0.8270676691729324,6
大島洋平,0.1358,0.048,0.0001,0.0001,0.072,0.744,-1
ディカーソン,0.1077431372549019,0.0392156862745098,0.0001,0.0294117647058823,0.1372549019607843,0.6862745098039216,1
上林誠知,0.1470588235294117,0.0098039215686274,0.0098039215686274,0.0098039215686274,0.0686274509803921,0.7549019607843138,3
三好大倫,0.1665666666666666,0.0222222222222222,0.0111111111111111,0.0001,0.0666666666666666,0.7333333333333334,3
川越誠司,0.1865666666666667,0.04,0.0001,0.0266666666666666,0.0533333333333333,0.6933333333333334,0
ロドリゲス,0.1183440677966101,0.0001,0.0001,0.0001,0.0338983050847457,0.8474576271186441,0
ブライト健太,0.1762705882352941,0.0001,0.0001,0.0392156862745098,0.0980392156862745,0.6862745098039216,0
