Player,1B_ratio,2B_ratio,3B_ratio,HR_ratio,BB+HBP_ratio,Out_ratio,Speed
山川穂高,0.1227495908346972,0.0425531914893617,0.0016366612111292,0.055646481178396,0.0949263502454991,0.6824877250409166,3
栗原陵矢,0.1371237458193979,0.0668896321070234,0.0033444816053511,0.0334448160535117,0.0903010033444816,0.6688963210702341,6
今宮健太,0.1598513011152416,0.0464684014869888,0.0074349442379182,0.0111524163568773,0.0910780669144981,0.6840148698884758,13
近藤健介,0.1626168224299065,0.0542056074766355,0.0037383177570093,0.0355140186915887,0.1831775700934579,0.5607476635514019,15
周東佑京,0.1949685534591195,0.0314465408805031,0.010482180293501,0.0041928721174004,0.0754716981132075,0.6834381551362685,30
甲斐拓也,0.1478591836734694,0.0637755102040816,0.0001,0.0127551020408163,0.0816326530612244,0.6938775510204082,-1
正木智也,0.1523822695035461,0.0744680851063829,0.0001,0.0248226950354609,0.0567375886524822,0.6914893617021276,1
牧原大成,0.2123552123552123,0.027027027027027,0.0154440154440154,0.0077220077220077,0.0347490347490347,0.7027027027027027,10
柳町達,0.160337552742616,0.0464135021097046,0.0210970464135021,0.0168776371308016,0.0632911392405063,0.6919831223628692,16
柳田悠岐,0.1822222222222222,0.0311111111111111,0.0044444444444444,0.0177777777777777,0.1688888888888889,0.5955555555555555,6
中村晃,0.1771399014778325,0.0197044334975369,0.0001,0.0001,0.0985221674876847,0.7044334975369458,-2
川瀬晃,0.2050282051282051,0.0128205128205128,0.0128205128205128,0.0001,0.0448717948717948,0.7243589743589746,4
川村友斗,0.1571428571428571,0.0571428571428571,0.0142857142857142,0.0071428571428571,0.0928571428571428,0.6714285714285715,7
海野隆司,0.0915666666666666,0.0416666666666666,0.0001,0.0166666666666666,0.0583333333333333,0.7916666666666666,0
廣瀨隆太,0.1620621621621621,0.036036036036036,0.0001,0.018018018018018,0.063063063063063,0.7207207207207207,-2
佐藤直樹,0.1289322580645161,0.032258064516129,0.010752688172043,0.0001,0.075268817204301,0.7526881720430108,0
三森大貴,0.2252521126760563,0.028169014084507,0.0001,0.0140845070422535,0.056338028169014,0.676056338028169,0
ウォーカー,0.105960606060606,0.0454545454545454,0.0001,0.0151515151515151,0.0151515151515151,0.8181818181818182,1
緒方理貢,0.1128032258064516,0.0161290322580645,0.0161290322580645,0.0001,0.1129032258064516,0.7419354838709677,5
野村勇,0.0997,0.0001,0.0001,0.0001,0.12,0.78,4
